lon;lat;elev;value;prid;dqc;sct;rep;fg;fge_mean;fge_sd
24.72468;64.05029;76;0;7;0;0.01;0.5;NA;0;0.1
26.81116;60.69648;40;0;7;0;0.34;0.5;NA;0.1;0.1
25.73646;68.90296;271;0;7;0;0.19;0.5;NA;0;0.1
26.4247;62.92178;110;0.1;7;0;0.39;0.5;NA;0;0.1
25.83814;66.56236;205;0;7;0;0.01;0.5;NA;0;0.1
21.63952;63.09875;11;0;7;0;0.04;0.5;NA;0;0.1
23.74678;61.46561;88;0;7;0;0;0.5;NA;0;0.1
21.02681;60.7222;0;0;7;0;6.02;0.5;NA;0;0.1
23.04366;63.12045;42;0;7;0;0;0.5;NA;0;0.1
28.68829;66.8166;194;0;7;0;1.03;0.5;NA;0;0.1
28.89409;69.5825;112;0;7;0;1.95;0.5;NA;0;0.1
24.96131;60.20307;23;0;7;0;0.01;0.5;NA;0;0.1
24.56788;60.29128;63;0;7;0;0.07;0.5;NA;0;0.1
27.74635;67.82151;258;0;7;0;0.73;0.5;NA;0;0.1
27.20219;61.6886;112;0.2;7;0;0.05;0.5;NA;0.5;0.3481
22.75768;60.17123;14;0;7;0;0.09;0.5;NA;0;0.1
24.26084;63.08898;189;0;7;0;0.13;0.5;NA;0;0.1
29.61132;67.74858;359;0;7;0;-1;0.5;NA;0;0.1
27.8965;70.08203;77;0;7;0;0.03;0.5;NA;0;0.1
24.6496;66.52952;96;0;7;0;2.49;0.5;NA;0;0.1
24.65373;60.50878;113;0;7;0;0;0.5;NA;0;0.1
22.18372;62.41345;103;0;7;0;0.99;0.5;NA;0;0.1
30.34662;62.23539;98;0;7;0;0.04;0.5;NA;0;0.1
24.95675;60.3267;60;0;7;0;0;0.5;NA;0;0.1
22.34613;61.25294;44;0;7;0;0.13;0.5;NA;0;0.1
25.67087;62.39758;131;0;7;0;0.85;0.5;NA;0.1;0.1863
22.94868;59.77363;5;0;7;0;0.95;0.5;NA;0;0.1
23.80559;60.64668;133;0;7;0;0;0.5;NA;0;0.1
30.97533;62.76966;138;0;7;0;0.01;0.5;NA;0;0.1
29.23397;63.23236;123;0;7;0;1.68;0.5;NA;0;0.1
23.57595;68.60301;380;0;7;0;0.97;0.5;NA;0;0.1
24.80764;62.51044;243;0;7;0;0.43;0.5;NA;0.1;0.1197
21.51533;61.13663;13;0;7;0;0.01;0.5;NA;0;0.1
27.22061;63.8409;205;0;7;0;0.25;0.5;NA;0;0.1
24.80297;60.59589;95;0;7;0;0;0.5;NA;0;0.1
27.15912;66.71556;213;0;7;0;0.48;0.5;NA;0;0.1
24.81483;61.85959;134;0;7;0;0.15;0.5;NA;0;0.1
25.85862;63.08225;139;0;7;0;0.24;0.5;NA;0;0.1
27.31317;63.14343;79;0.1;7;15;2.2;0.5;NA;0;0.1
20.29765;60.11584;4;0;7;5;8.46;NA;NA;0;0.1
26.96311;65.40014;124;0;7;0;2.39;0.5;NA;0;0.1
24.94459;60.17523;28;0;7;0;0;0.5;NA;0;0.1
27.26567;69.14089;160;0;7;0;0.42;0.5;NA;0;0.1
29.46108;61.44467;64;0.2;7;0;0.26;0.5;NA;0.2;0.2564
29.31193;66.36999;191;0;7;0;1.36;0.5;NA;0;0.1
26.0495;61.20005;92;0;7;0;0.03;0.5;NA;0.2;0.1989
26.01094;66.57944;108;0;7;0;0.49;0.5;NA;0;0.1
28.20873;61.05754;97;0;7;0;0.01;0.5;NA;0.2;0.1676
26.36754;65.97684;166;0;7;0;0.53;0.5;NA;0;0.1
10.69917;59.521;47;0;3;0;0.02;1;0;0;0.1
10.72916;60.62025;378;0;3;0;0.02;1;0;0;0.1
7.59015;61.49504;12;0.3;3;0;0.01;1;NA;0.3;0.3794
10.68418;56.44321;32;2.8;3;5;7.3;NA;NA;4.2;5.7166
18.07274;59.49795;31;0;3;0;0;1;NA;0;0.1
9.14263;56.13926;79;0;3;0;1.19;1;NA;0.3;0.5812
11.74252;55.66493;29;0;3;0;0;1;NA;0.1;0.2137
10.56523;59.90027;43;0;3;0;0.01;1;0;0;0.1
11.17788;61.37395;258;0;3;0;0.08;1;0;0.1;0.3698
11.94042;55.81476;5;0;3;0;0.69;1;NA;0;0.1
12.35195;55.7802;34;0;3;0;0;1;NA;0;0.1
10.99914;59.96886;141;0;3;0;0;1;0;0;0.1
12.36832;55.77704;32;0;3;0;0;1;NA;0;0.1
9.36273;56.4443;41;0;3;0;0.02;1;NA;0.1;0.1662
17.10494;61.72219;6;0;3;0;0;1;NA;0;0.1
14.09699;56.07388;18;0;3;0;0;1;NA;0;0.1
13.38112;58.34926;115;0;3;0;0;1;0;0;0.1
9.62716;55.52172;35;0;3;0;2.6;1;NA;1.5;3.4881
10.27416;61.56798;896;0.3;3;0;0.57;1;NA;0.3;0.6132
7.7712;58.07528;17;0;3;0;0.04;1;0;0.3;0.5096
12.35826;58.35473;52;0;3;0;0.01;1;0;0;0.1
8.44068;55.50596;17;0;3;0;0;1;NA;0;0.1
9.69703;59.26358;264;0;3;0;0.02;1;0;0;0.1
11.0748;59.91912;211;0;3;0;0;1;0;0;0.1
11.90808;57.71959;26;0;3;0;0;1;0;0;0.1
11.91139;54.89892;13;0;3;5;179.83;NA;NA;1.4;1.3277
29.03982;61.60436;64;0.7;3;0;0.14;1;NA;0.2;0.1082
7.69374;58.51788;459;0;3;0;0.16;1;0;0;0.1
14.15813;55.94803;11;0;3;0;0.01;1;NA;0;0.1
13.06917;55.66931;1;0;3;0;0;1;NA;0;0.1
13.28913;58.52967;48;0;3;0;0.23;1;0;0;0.1
12.29441;55.74546;35;0;3;0;0.01;1;NA;0;0.1
15.57736;58.44152;41;0;3;0;0;1;NA;0;0.1
14.42814;57.96621;177;0;3;0;0.01;1;NA;0;0.1
25.87077;60.37761;26;0;3;0;1.63;1;NA;0;0.1
9.72195;57.36873;8;0;3;0;0.46;1;0;1.3;2.4363
13.08041;55.66615;7;0;3;0;0.03;1;NA;0;0.1
19.62013;63.77041;126;0;3;0;0.76;1;NA;0;0.1
16.53094;68.79779;54;0;3;0;0;1;0;0;0.1
9.9621;56.97594;50;0.1;3;0;1.17;1;NA;1.7;2.7848
10.24829;59.1293;20;0;3;0;0;1;0;0;0.1
8.8917;58.62893;71;0.1;3;8;NA;NA;2;0.1;0.1917
12.62549;55.62103;4;0;3;0;0.01;1;NA;0;0.1
11.88599;54.75685;8;1.8;3;0;0.05;1;NA;2.9;2.5062
5.33907;60.46473;104;0.8;3;0;0.05;1;0.5;1;1.0349
10.31342;55.27087;36;2.7;3;0;1.36;1;NA;0.3;0.7054
16.4956;57.28284;9;0;3;0;0.01;1;NA;0;0.1
12.32118;55.93578;65;0;3;0;0.05;1;NA;0.2;0.621
25.12721;60.21276;22;0;3;0;0;1;NA;0;0.1
15.21489;59.43021;47;0;3;0;0.37;1;NA;0;0.1
9.67722;55.66067;42;1.1;3;0;0.14;1;NA;1.7;3.7864
10.19158;56.23519;60;0;3;0;0.02;1;NA;0.6;1.0308
12.19175;56.10192;11;0;3;0;0.05;1;NA;0;0.1
5.7333;58.9701;14;10.4;3;4;NA;NA;0.7;0;0.1
9.54607;55.50171;34;0;3;0;1.87;1;NA;0.3;0.6457
12.38809;56.09054;7;0;3;0;0.28;1;NA;0.2;0.533
12.42482;58.11902;102;0;3;0;0.01;1;0;0;0.1
10.65227;61.09614;599;0;3;0;0.5;1;0;0.3;0.3748
9.51244;63.58044;6;0;3;0;0;1;0;0;0.1
10.24895;55.31915;37;0.1;3;0;0.08;1;NA;0.4;1.0275
6.49802;61.74408;247;0.3;3;0;0.81;1;0.3;0.3;0.3901
13.46861;55.3819;4;0;3;0;1.23;1;NA;0.1;0.2349
9.7277;55.52209;13;0.1;3;0;3.12;1;NA;2;4.2626
5.75256;58.81624;123;11.1;3;0;0.36;1;7.3;0;0.1
9.69592;63.75036;6;0;3;0;0.01;1;0;0;0.1
8.6949;56.9552;5;0;3;8;NA;NA;0.3;2.4;2.94
13.76316;55.69041;91;0;3;0;0.05;1;NA;0;0.1
10.55217;63.4289;12;0;3;0;0;1;0;0;0.1
10.32498;59.22864;37;0;3;0;0;1;0;0;0.1
5.79563;60.73031;7;0;3;5;8.03;NA;0;1.2;1.4309
12.89144;61.2738;486;0;3;0;0.96;1;0;0;0.1
9.95094;56.45783;33;3.8;3;5;7.19;NA;NA;1.7;4.2154
9.47373;55.52642;60;0;3;0;0.92;1;NA;0.1;0.1443
10.8324;59.61606;97;0;3;0;0;1;0;0;0.1
11.1845;55.60392;22;0;3;0;2.6;1;NA;3;3.939
12.06237;55.84325;3;0;3;0;0.2;1;NA;0;0.1
16.16671;56.62734;17;0;3;0;0.02;1;NA;0;0.1
9.66648;54.88701;15;0;3;0;0;1;NA;0;0.1
