lon;lat;z;prid;stid;wmoid;qcode;value
10.798;59.3742;40;1;-9999;-9999;-9999;14.1666666666667
10.7818;59.6605;92;1;-9999;-9999;-9999;14.3333333333333
10.146;59.713;193;1;-9999;-9999;-9999;13.0833333333333
9.6377;59.6247;170;1;-9999;-9999;-9999;13.8458333333333
10.148;58.9688;15;1;-9999;-9999;-9999;15.1583333333333
9.66;59.091;100;1;-9999;-9999;-9999;14.2708333333333
11.1128;59.2852;57;1;-9999;-9999;-9999;14.725
9.0263;58.87;32;1;-9999;-9999;-9999;15.9958333333333
8.4167;58.6007;162;1;-9999;-9999;-9999;14.675
7.803;58.6863;207;1;-9999;-9999;-9999;14.8708333333333
6.8817;59.3335;1105;1;-9999;-9999;-9999;7.77916666666667
5.5553;58.6592;24;1;-9999;-9999;-9999;13.6208333333333
5.4122;59.0705;21;1;-9999;-9999;-9999;14.8
5.7208;59.4927;20;1;-9999;-9999;-9999;14.55
5.0683;59.9083;25;1;-9999;-9999;-9999;14.8833333333333
5.2038;60.0167;32;1;-9999;-9999;-9999;14.5333333333333
5.964;60.3887;455;1;-9999;-9999;-9999;12.1875
6.222;60.6455;328;1;-9999;-9999;-9999;13.3541666666667
6.4265;60.6251;54;1;-9999;-9999;-9999;14.15
4.715;60.7525;19;1;-9999;-9999;-9999;14.0208333333333
5.76;61.391;321;1;-9999;-9999;-9999;13.6958333333333
6.1043;61.8293;60;1;-9999;-9999;-9999;13.5958333333333
6.8717;62.5158;625;1;-9999;-9999;-9999;7.76666666666667
7.8355;62.4458;67;1;-9999;-9999;-9999;9.7125
9.6667;62.6043;604;1;-9999;-9999;-9999;7.67916666666667
7.8158;63.1093;62;1;-9999;-9999;-9999;11.6041666666667
10.5608;62.9763;127;1;-9999;-9999;-9999;9.13333333333333
10.5493;64.7977;33;1;-9999;-9999;-9999;11.125
12.4783;65.9635;17;1;-9999;-9999;-9999;11.575
2.2273;59.5742;59;1;-9999;-9999;-9999;13.0958333333333
13.904;66.2348;5;1;-9999;-9999;-9999;11.525
14.3015;66.3643;70;1;-9999;-9999;-9999;12.075
15.943;68.368;8;1;-9999;-9999;-9999;12.9708333333333
13.615;68.155;26;1;-9999;-9999;-9999;12.275
19.4997;70.2452;21;1;-9999;-9999;-9999;11.0541666666667
20.2823;69.3875;20;1;-9999;-9999;-9999;14.5041666666667
22.8177;70.4107;18;1;-9999;-9999;-9999;13.8458333333333
29.7;70.6028;152;1;-9999;-9999;-9999;17.9416666666667
29.8352;70.0653;39;1;-9999;-9999;-9999;16.5833333333333
10.4762;61.0917;240;1;-9999;-9999;-9999;13.1541666666667
10.4358;59.8558;163;1;-9999;-9999;-9999;14.2583333333333
9.2928;61.0128;822;1;-9999;-9999;-9999;10.8
8.9228;61.2508;965;1;-9999;-9999;-9999;9.58333333333333
10.1237;59.7537;8;1;-9999;-9999;-9999;15.3166666666667
10.3483;59.23;26;1;-9999;-9999;-9999;14.1583333333333
7.4805;60.1833;1250;1;-9999;-9999;-9999;7.30416666666667
8.5263;60.4188;798;1;-9999;-9999;-9999;10.25
7.5273;59.1972;308;1;-9999;-9999;-9999;13.4291666666667
7.4517;58.0247;10;1;-9999;-9999;-9999;15.2583333333333
6.5045;58.507;65;1;-9999;-9999;-9999;14.575
5.7278;58.9563;72;1;-9999;-9999;-9999;14.6333333333333
5.2115;59.3445;24;1;-9999;-9999;-9999;14.7291666666667
5.7243;60.5205;10;1;-9999;-9999;-9999;13.8166666666667
7.2085;60.7192;960;1;-9999;-9999;-9999;9.20833333333333
7.9957;61.5648;1413;1;-9999;-9999;-9999;5.075
5.0443;61.2928;7;1;-9999;-9999;-9999;13.675
6.0807;62.181;74;1;-9999;-9999;-9999;11.8625
5.268;62.3293;38;1;-9999;-9999;-9999;12.4916666666667
8.2;62.2583;579;1;-9999;-9999;-9999;7.95
7.2617;62.7443;3;1;-9999;-9999;-9999;11.7083333333333
11.0075;63.2248;160;1;-9999;-9999;-9999;9.825
10.2237;63.9678;30;1;-9999;-9999;-9999;10.5333333333333
12.3837;64.531;95;1;-9999;-9999;-9999;10.575
8.085;66.0256;33;1;-9999;-9999;-9999;10.8791666666667
13.2892;65.6215;50;1;-9999;-9999;-9999;11.4416666666667
11.0803;61.4255;257;1;-9999;-9999;-9999;10.2625
14.6693;68.2453;9;1;-9999;-9999;-9999;13.1333333333333
12.1038;67.5267;4;1;-9999;-9999;-9999;11.1375
16.1312;69.3073;10;1;-9999;-9999;-9999;11.5791666666667
22.1457;70.4865;6;1;-9999;-9999;-9999;14.65
28.159;70.2122;32;1;-9999;-9999;-9999;17.0208333333333
9.2143;62.0172;560;2;-9999;-9999;-9999;9.50416666666667
9.4391;60.1358;143;2;-9999;-9999;-9999;13.625
10.1052;59.6473;437;2;-9999;-9999;-9999;10.5583333333333
7.672;62.5643;4;2;-9999;-9999;-9999;10.3916666666667
10.5337;63.4248;23;2;-9999;-9999;-9999;10.4
13.5403;64.9608;460;2;-9999;-9999;-9999;9.0375
5.015;63.49;0;2;-9999;-9999;-9999;11.4625
2.4873;59.1652;0;2;-9999;-9999;-9999;16.3666666666667
1.7437;58.8452;30;2;-9999;-9999;-9999;13.5333333333333
15.8282;67.3335;665;2;-9999;-9999;-9999;7.525
18.0767;68.4323;512;2;-9999;-9999;-9999;10.8208333333333
9.8948;59.8387;18;2;-9999;-9999;-9999;15.7625
10.4053;59.591;3;2;-9999;-9999;-9999;14.8208333333333
10.4238;59.169;2;2;-9999;-9999;-9999;14.7166666666667
11.166;59.5872;141;2;-9999;-9999;-9999;13.6916666666667
6.4697;59.4128;639;2;-9999;-9999;-9999;11.7916666666667
6.5742;60.1173;147;2;-9999;-9999;-9999;14.9416666666667
7.3892;61.5972;1566;2;-9999;-9999;-9999;4.16666666666667
10.3597;63.3628;135;2;-9999;-9999;-9999;9.36666666666667
11.4255;63.9425;59;2;-9999;-9999;-9999;10.5333333333333
2.5063;61.079;0;2;-9999;-9999;-9999;13.5541666666667
15.1018;67.2763;20;2;-9999;-9999;-9999;13.0708333333333
18.6938;69.9903;26;2;-9999;-9999;-9999;12.375
10.5143;61.1431;562;2;-9999;-9999;-9999;11.5208333333333
10.804;59.923;100;2;-9999;-9999;-9999;15.6208333333333
10.9185;59.9683;200;2;-9999;-9999;-9999;13.0625
10.0258;59.7328;166;2;-9999;-9999;-9999;15.4
9.8922;59.7613;15;2;-9999;-9999;-9999;15.6166666666667
10.3655;59.1745;1;2;-9999;-9999;-9999;14.7458333333333
10.125;59.0467;19;2;-9999;-9999;-9999;14.2666666666667
8.7028;58.5158;134;2;-9999;-9999;-9999;14.9916666666667
11.0962;59.5873;87;2;-9999;-9999;-9999;14.1791666666667
8.052;58.1502;12;2;-9999;-9999;-9999;16.6083333333333
9.9705;63.5858;23;2;-9999;-9999;-9999;10.6666666666667
13.9298;66.6432;1362;2;-9999;-9999;-9999;2.50416666666667
13.948;66.8275;520;2;-9999;-9999;-9999;8.60416666666667
15.4628;66.7435;520;2;-9999;-9999;-9999;9.6375
18.6208;69.4229;740;2;-9999;-9999;-9999;10.2583333333333
28.9563;70.227;150;2;-9999;-9999;-9999;17.1333333333333
10.2588;61.2247;375;2;-9999;-9999;-9999;12.4083333333333
8.4968;60.8397;1344;2;-9999;-9999;-9999;7.72916666666667
10.3985;59.3845;40;2;-9999;-9999;-9999;13.8208333333333
10.45442;59.2084;1;2;-9999;-9999;-9999;14.5458333333333
8.7057;60.255;648;2;-9999;-9999;-9999;11.9291666666667
7.4128;58.6172;268;2;-9999;-9999;-9999;14.1666666666667
11.0782;60.2105;203;2;-9999;-9999;-9999;14.4166666666667
6.6293;60.128;470;2;-9999;-9999;-9999;12.525
6.9933;62.191;900;2;-9999;-9999;-9999;7.65
6.4325;62.4317;1;2;-9999;-9999;-9999;12.1958333333333
9.5827;62.4473;680;2;-9999;-9999;-9999;8.00416666666667
19.3537;69.0222;85;2;-9999;-9999;-9999;13.8333333333333
10.8236;59.8427;92;2;-9999;-9999;-9999;14.25
10.0275;59.7498;4;2;-9999;-9999;-9999;15.3458333333333
10.45604;59.23662;2;2;-9999;-9999;-9999;14.8583333333333
6.4347;60.2263;1212;2;-9999;-9999;-9999;6.55833333333333
6.5395;60.0447;89;2;-9999;-9999;-9999;14.3291666666667
5.3967;60.35;215;2;-9999;-9999;-9999;13.575
7.2173;62.288;34;2;-9999;-9999;-9999;12.5208333333333
13.4483;65.3143;940;2;-9999;-9999;-9999;5.84583333333333
15.8768;68.5172;6;2;-9999;-9999;-9999;13.5041666666667
15.3112;68.7183;500;2;-9999;-9999;-9999;9.4125
16.3608;68.5863;1095;2;-9999;-9999;-9999;6.9375
20.5507;69.5417;14;2;-9999;-9999;-9999;12.6041666666667
21.7223;70.1227;915;2;-9999;-9999;-9999;14.5291666666667
10.4548;61.1478;388;2;-9999;-9999;-9999;13.1666666666667
9.1542;61.7247;599;2;-9999;-9999;-9999;8.70416666666667
10.5813;59.5513;9;2;-9999;-9999;-9999;15.4958333333333
10.2312;59.7445;4;2;-9999;-9999;-9999;16.1541666666667
10.3957;59.3173;60;2;-9999;-9999;-9999;14.0458333333333
10.4103;59.2173;5;2;-9999;-9999;-9999;15.725
6.6467;59.0552;5;2;-9999;-9999;-9999;14.1833333333333
6.5285;61.2028;15;2;-9999;-9999;-9999;15.3458333333333
7.925;62.93;990;2;-9999;-9999;-9999;4.34166666666667
6.7912;65.1103;114;2;-9999;-9999;-9999;13.1708333333333
2.797;60.3902;0;2;-9999;-9999;-9999;13.2083333333333
17.966;68.3995;365;2;-9999;-9999;-9999;11.4375
19.5442;69.1025;1074;2;-9999;-9999;-9999;8.84583333333333
10.4675;61.1145;210;2;-9999;-9999;-9999;14.5125
10.8145;59.3188;12;2;-9999;-9999;-9999;14.0166666666667
10.7202;59.9423;94;2;-9999;-9999;-9999;15.8166666666667
10.2662;60.1403;126;2;-9999;-9999;-9999;14.9125
10.5592;60.3558;245;2;-9999;-9999;-9999;13.6458333333333
9.9728;59.9202;64;2;-9999;-9999;-9999;14.875
10.4275;59.2937;55;2;-9999;-9999;-9999;14.15
11.3905;59.3882;100;2;-9999;-9999;-9999;13.2375
8.6537;59.0523;570;2;-9999;-9999;-9999;14.0208333333333
5.7262;58.7345;92;2;-9999;-9999;-9999;13.5958333333333
11.3933;60.1268;160;2;-9999;-9999;-9999;13.2291666666667
10.2973;63.3403;44;2;-9999;-9999;-9999;9.89166666666667
9.9907;62.063;800;2;-9999;-9999;-9999;6.975
10.7623;59.919;37;2;-9999;-9999;-9999;16.8583333333333
10.6825;59.9048;15;2;-9999;-9999;-9999;15.7583333333333
10.5472;59.9682;370;2;-9999;-9999;-9999;12.7291666666667
10.5357;59.9603;262;2;-9999;-9999;-9999;13.3791666666667
20.15;72.49;0;2;-9999;-9999;-9999;8.85
12.1887;61.3188;1020;2;-9999;-9999;-9999;5.275
5.9538;59.6625;8;2;-9999;-9999;-9999;15.4041666666667
5.542;60.3828;345;2;-9999;-9999;-9999;11.2166666666667
7.2765;61.6517;243;2;-9999;-9999;-9999;11.3958333333333
6.8608;61.1792;45;2;-9999;-9999;-9999;14.9291666666667
6.096;61.4573;980;2;-9999;-9999;-9999;8.925
7.2088;62.756;258;2;-9999;-9999;-9999;9.86666666666667
9.8203;62.6597;660;2;-9999;-9999;-9999;6.60833333333333
10.3364;63.4465;44;2;-9999;-9999;-9999;10.5875
1.7178;58.4178;0;2;-9999;-9999;-9999;14.0458333333333
13.1848;66.3892;115;2;-9999;-9999;-9999;10.8833333333333
20.431;70.075;850;2;-9999;-9999;-9999;10.05
8.3685;61.674;1844;2;-9999;-9999;-9999;3.5125
5.332;60.3837;46;2;-9999;-9999;-9999;15.1541666666667
6.4733;60.8655;700;2;-9999;-9999;-9999;11.0666666666667
6.3758;61.4202;311;2;-9999;-9999;-9999;10.9833333333333
6.849;62.3065;1050;2;-9999;-9999;-9999;4.75416666666667
6.7;62.5;26;2;-9999;-9999;-9999;12.25
17.4212;68.4372;31;2;-9999;-9999;-9999;13.3291666666667
20.11451;70.10426;57;2;-9999;-9999;-9999;11.9458333333333
28.9648;70.3357;470;2;-9999;-9999;-9999;15.3833333333333
10.8107;59.6703;120;2;-9999;-9999;-9999;14.025
8.00375;60.68108;992;2;-9999;-9999;-9999;10.0291666666667
10.3847;59.4283;70;2;-9999;-9999;-9999;13.4458333333333
10.46;59.3563;61;2;-9999;-9999;-9999;14.375
9.0287;59.4175;105;2;-9999;-9999;-9999;14.7666666666667
7.0452;58.134;6;2;-9999;-9999;-9999;15.3666666666667
6.9077;61.3648;443;2;-9999;-9999;-9999;10.8958333333333
6.8167;62.4775;5;2;-9999;-9999;-9999;12.0916666666667
6.4013;62.4654;33;2;-9999;-9999;-9999;11.8125
10.6268;62.1093;478;2;-9999;-9999;-9999;8.4875
18.8772;69.6988;63;2;-9999;-9999;-9999;12.65
20.5795;69.2235;502;2;-9999;-9999;-9999;11.6666666666667
22.0705;70.2368;27;2;-9999;-9999;-9999;15.225
23.6168;70.1282;190;2;-9999;-9999;-9999;16.0541666666667
10.5315;59.96;281;2;-9999;-9999;-9999;14.225
5.2777;60.2913;37;2;-9999;-9999;-9999;15.0375
5.2983;61.7707;16;2;-9999;-9999;-9999;14.5
10.4657;63.3064;143;2;-9999;-9999;-9999;9.32083333333333
10.4535;63.4107;127;2;-9999;-9999;-9999;9.64166666666667
22.3413;70.1728;560;2;-9999;-9999;-9999;12.9208333333333
9.352;62.2958;1475;2;-9999;-9999;-9999;2.5375
9.5413;61.7782;309;2;-9999;-9999;-9999;12.4208333333333
10.7543;59.398;35;2;-9999;-9999;-9999;14.35
10.671;59.9573;177;2;-9999;-9999;-9999;15.2541666666667
9.8728;59.7323;13;2;-9999;-9999;-9999;14.8916666666667
10.3603;59.2632;30;2;-9999;-9999;-9999;13.5333333333333
10.9777;59.9775;143;2;-9999;-9999;-9999;14.9708333333333
7.1603;60.8625;860;2;-9999;-9999;-9999;10.6208333333333
8.6895;62.9853;5;2;-9999;-9999;-9999;10.2875
19.6278;69.0935;230;2;-9999;-9999;-9999;13.5416666666667
29.1003;70.306;268;2;-9999;-9999;-9999;16.975
8.2423;61.7195;700;2;-9999;-9999;-9999;8.5875
10.4047;59.6027;4;2;-9999;-9999;-9999;15.1583333333333
8.6978;59.8655;1008;2;-9999;-9999;-9999;10.975
6.5887;59.9333;255;2;-9999;-9999;-9999;13.2708333333333
7.2275;62.7413;5;2;-9999;-9999;-9999;11.9041666666667
7.7027;63.1257;5;2;-9999;-9999;-9999;13.0041666666667
10.4428;63.4429;13;2;-9999;-9999;-9999;10.7916666666667
10.648;63.3188;285;2;-9999;-9999;-9999;8.025
10.715;59.9492;121;2;-9999;-9999;-9999;15.3625
3.0468;60.5425;0;2;-9999;-9999;-9999;12.6166666666667
2.4327;61.3648;0;2;-9999;-9999;-9999;13.5333333333333
2.8978;60.7827;0;2;-9999;-9999;-9999;13.1416666666667
7.0958;67.06716;52;2;-9999;-9999;-9999;10.2541666666667
13.9793;66.8102;39;2;-9999;-9999;-9999;11.7666666666667
17.4802;68.421;1000;2;-9999;-9999;-9999;8.17083333333333
20.5268;69.4722;72;2;-9999;-9999;-9999;13.7333333333333
10.5112;61.104;507;2;-9999;-9999;-9999;12.0208333333333
10.8185;59.8775;135;2;-9999;-9999;-9999;13.4916666666667
10.2598;59.7908;39;2;-9999;-9999;-9999;14.4083333333333
34.7;72.66;0;2;-9999;-9999;-9999;9.60833333333333
10.4312;59.2782;3;2;-9999;-9999;-9999;14.775
10.2397;59.3808;39;2;-9999;-9999;-9999;13.7125
9.2118;59.3822;94;2;-9999;-9999;-9999;15.0208333333333
6.1498;59.23;43;2;-9999;-9999;-9999;14.6333333333333
6.1065;61.8902;1020;2;-9999;-9999;-9999;6.01666666666667
7.2436;62.9087;80;2;-9999;-9999;-9999;10.3625
10.2641;63.4182;433;2;-9999;-9999;-9999;7.075
13.5978;64.4595;420;2;-9999;-9999;-9999;9.05833333333333
15.2832;68.648;14;2;-9999;-9999;-9999;13.2166666666667
18.6773;69.414;124;2;-9999;-9999;-9999;14.325
10.7088;61.1638;930;2;-9999;-9999;-9999;8.04583333333333
10.4978;59.2608;9;2;-9999;-9999;-9999;15.0625
10.2983;59.2938;33;2;-9999;-9999;-9999;13.0333333333333
10.398;59.1208;32;2;-9999;-9999;-9999;14.5708333333333
6.4298;60.2178;1390;2;-9999;-9999;-9999;6.74166666666667
5.3358;60.404;175;2;-9999;-9999;-9999;12.425
9.392;62.6352;1550;2;-9999;-9999;-9999;0.0291666666666667
10.3498;63.4223;156;2;-9999;-9999;-9999;9.52916666666667
2.7757;60.6083;0;2;-9999;-9999;-9999;12.9583333333333
19.0065;69.6508;3;2;-9999;-9999;-9999;11.5208333333333
20.15185;69.55991;670;2;-9999;-9999;-9999;11.95
11.2302;60.3943;143;2;-9999;-9999;-9999;14.925
10.0582;59.7655;54;2;-9999;-9999;-9999;13.5833333333333
9.9155;59.7688;7;2;-9999;-9999;-9999;15.85
8.9837;59.5022;1102;2;-9999;-9999;-9999;9.27083333333333
7.2525;62.297;2;2;-9999;-9999;-9999;12.5125
20.1387;69.8915;45;2;-9999;-9999;-9999;12.1416666666667
11.2028;60.8028;182;2;-9999;-9999;-9999;13.0291666666667
10.0123;59.7658;139;2;-9999;-9999;-9999;14.3083333333333
10.4023;59.2417;25;2;-9999;-9999;-9999;14.3333333333333
10.4228;63.3987;84;2;-9999;-9999;-9999;9.86666666666667
3.501;60.7735;0;2;-9999;-9999;-9999;13.3458333333333
14.8892;66.2785;550;2;-9999;-9999;-9999;9.48333333333333
14.1663;67.093;600;2;-9999;-9999;-9999;8.00416666666667
15.973;67.0129;565;2;-9999;-9999;-9999;9.17916666666667
10.0003;62.0103;780;2;-9999;-9999;-9999;7.64583333333333
18.2442;68.6457;230;2;-9999;-9999;-9999;12.3083333333333
18.982;69.6942;80;2;-9999;-9999;-9999;13.1666666666667
20.5787;69.4818;1237;2;-9999;-9999;-9999;8.5125
8.8945;61.4183;1088;2;-9999;-9999;-9999;8.36666666666667
9.4798;61.8883;940;2;-9999;-9999;-9999;6.65833333333333
24.13;73.5;0;2;-9999;-9999;-9999;8.66666666666667
10.2142;59.731;14;2;-9999;-9999;-9999;15.7041666666667
10.4647;59.4198;95;2;-9999;-9999;-9999;14.5958333333333
10.5137;59.2942;3;2;-9999;-9999;-9999;16.1833333333333
9.5772;59.2268;41;2;-9999;-9999;-9999;14.3708333333333
11.0422;59.3193;45;2;-9999;-9999;-9999;14.0833333333333
8.3442;59.1723;645;2;-9999;-9999;-9999;11.6625
5.7592;58.8662;19;2;-9999;-9999;-9999;14.8666666666667
6.7108;59.8357;1370;2;-9999;-9999;-9999;6.2125
5.3418;60.4742;90;2;-9999;-9999;-9999;13.6583333333333
